iter	Passed	Remaining
740	88526	54836
741	88655	54722
742	88806	54622
743	88957	54522
744	89083	54406
745	89218	54296
746	89329	54171
747	89444	54049
748	89572	53934
749	89692	53815
750	89803	53690
751	89908	53562
752	90016	53436
753	90133	53314
754	90240	53187
755	90369	53074
756	90490	52955
757	90601	52831
758	90715	52708
759	90823	52582
760	90936	52458
761	91045	52333
762	91164	52213
763	91275	52089
764	91391	51967
765	91524	51856
766	91644	51736
767	91748	51608
768	91862	51485
769	91984	51368
770	92130	51263
771	92232	51134
772	92355	51016
773	92479	50899
774	92629	50796
775	92763	50685
776	92888	50568
777	93008	50449
778	93137	50334
779	93270	50222
780	93383	50099
781	93497	49976
782	93602	49849
783	93706	49722
784	93807	49592
785	93905	49461
786	94013	49336
787	94126	49213
788	94237	49089
789	94364	48974
790	94466	48845
791	94586	48726
792	94696	48602
793	94807	48478
794	94911	48351
795	95033	48232
796	95146	48110
797	95261	47988
798	95373	47866
799	95484	47742
800	95604	47623
801	95713	47498
802	95809	47367
803	95900	47234
804	96002	47107
805	96115	46984
806	96226	46861
807	96345	46742
808	96486	46632
809	96648	46534
810	96798	46429
811	96933	46318
812	97121	46231
813	97297	46138
814	97451	46035
815	97579	45919
816	97683	45792
817	97820	45681
818	97943	45563
819	98064	45444
820	98192	45329
821	98329	45217
822	98469	45107
823	98579	44982
824	98703	44865
825	98810	44739
826	98922	44616
827	99044	44498
828	99161	44377
829	99275	44255
830	99385	44131
831	99500	44009
832	99617	43888
833	99746	43773
834	99912	43674
835	100097	43583
836	100245	43475
837	100375	43360
838	100498	43242
839	100612	43119
840	100757	43010
841	100894	42898
842	101080	42806
843	101272	42716
844	101407	42603
845	101558	42496
846	101695	42383
847	101834	42270
848	101970	42157
849	102139	42057
850	102364	41980
851	102579	41898
852	102726	41789
853	102885	41684
854	103034	41575
855	103175	41463
856	103331	41356
857	103466	41241
858	103666	41152
859	103812	41042
860	103965	40934
861	104132	40831
862	104308	40732
863	104476	40629
864	104636	40524
865	104804	40421
866	104992	40325
867	105114	40205
868	105256	40092
869	105395	39977
870	105545	39867
871	105720	39766
872	105853	39649
873	106028	39548
874	106202	39446
875	106335	39329
876	106463	39210
877	106605	39096
878	106736	38978
879	106883	38866
880	107041	38758
881	107182	38644
882	107344	38536
883	107472	38417
884	107598	38297
885	107737	38182
886	107897	38074
887	108033	37957
888	108168	37840
889	108302	37723
890	108445	37609
891	108586	37493
892	108726	37378
893	108865	37262
894	108997	37144
895	109142	37030
896	109288	36916
897	109441	36805
898	109621	36703
899	109757	36585
900	109913	36475
901	110064	36362
902	110197	36244
903	110330	36125
904	110456	36005
905	110625	35898
906	110777	35785
907	110914	35668
908	111049	35550
909	111170	35427
910	111312	35312
911	111444	35192
912	111582	35075
913	111713	34956
914	111849	34838
915	111985	34720
916	112121	34602
917	112265	34486
918	112458	34386
919	112612	34273
920	112735	34151
921	112850	34026
922	112989	33909
923	113121	33789
924	113246	33667
925	113385	33550
926	113510	33428
927	113629	33305
928	113762	33185
929	113886	33063
930	114027	32946
931	114158	32826
932	114284	32705
933	114406	32582
934	114534	32461
935	114672	32343
936	114804	32223
937	114923	32100
938	115032	31973
939	115143	31848
940	115256	31723
941	115377	31600
942	115509	31480
943	115621	31355
944	115726	31227
945	115834	31101
946	115951	30977
947	116063	30852
948	116192	30731
949	116314	30608
950	116435	30486
951	116561	30364
952	116677	30240
953	116788	30115
954	116891	29987
955	117001	29862
956	117146	29745
957	117313	29634
958	117467	29520
959	117617	29404
960	117743	29282
961	117863	29159
962	117999	29040
963	118127	28919
964	118260	28799
965	118417	28684
966	118568	28569
967	118734	28456
968	118875	28338
969	119044	28227
970	119193	28110
971	119346	27994
972	119508	27881
973	119695	27773
974	119871	27662
975	119994	27539
976	120110	27415
977	120230	27291
978	120342	27166
979	120464	27043
980	120575	26917
981	120698	26794
982	120834	26674
983	120957	26551
984	121090	26430
985	121215	26308
986	121326	26182
987	121445	26059
988	121564	25935
989	121719	25819
990	121862	25700
991	121978	25576
992	122097	25452
993	122223	25329
994	122351	25208
995	122469	25084
996	122583	24959
997	122693	24833
998	122813	24710
999	122945	24589
1000	123077	24468
1001	123196	24344
1002	123309	24219
1003	123433	24096
1004	123547	23971
1005	123661	23847
1006	123779	23723
1007	123906	23601
1008	124029	23478
1009	124142	23353
1010	124261	23229
1011	124376	23105
1012	124491	22981
1013	124609	22857
1014	124758	22739
1015	124904	22620
1016	125100	22510
1017	125274	22396
1018	125419	22277
1019	125594	22163
1020	125762	22048
1021	125904	21928
1022	126057	21810
1023	126234	21696
1024	126385	21577
1025	126562	21463
1026	126717	21345
1027	126888	21230
1028	127022	21108
1029	127142	20984
1030	127269	20861
1031	127386	20737
1032	127510	20614
1033	127630	20490
1034	127759	20367
1035	127879	20243
1036	127993	20118
1037	128118	19995
1038	128249	19873
1039	128361	19747
1040	128493	19625
1041	128646	19506
1042	128805	19388
1043	128985	19273
1044	129124	19152
1045	129242	19028
1046	129383	18906
1047	129622	18800
1048	129897	18698
1049	130081	18583
1050	130247	18465
1051	130395	18344
1052	130569	18227
1053	130753	18111
1054	130923	17994
1055	131036	17868
1056	131170	17745
1057	131333	17626
1058	131464	17503
1059	131596	17380
1060	131735	17258
1061	131860	17134
1062	131993	17011
1063	132109	16886
1064	132256	16764
1065	132591	16667
1066	133048	16584
1067	133396	16487
1068	133655	16378
1069	133952	16274
1070	134190	16162
1071	134497	16059
1072	134827	15958
1073	135088	15848
1074	135344	15737
1075	135668	15634
1076	135981	15529
1077	136357	15431
1078	136679	15327
1079	136951	15216
1080	137217	15105
1081	137456	14990
